Marca temporal,¿En qué etapa está actualmente tu emprendimiento?,¿Qué vendes o qué servicio ofreces?,¿Por qué medio vendes actualmente o te gustaría vender tus productos?,¿Qué fue lo más difícil cuando empezaste a vender por internet?,¿Qué necesitas principalmente para hacer crecer tu negocio por internet?,"Si eligieras una herramienta para vender por internet, ¿qué sería más importante para ti?",¿Qué dificultades tienes o crees que podrías tener al enviar tus productos a tus clientes?,¿Has pensado en pedir ayuda a una persona o empresa para crear o mejorar tu tienda en internet?,"¿Qué tan útil sería para ti recibir una recomendación sobre dónde vender, cómo enviar tus productos y qué tipo de ayuda podrías necesitar?",¿Qué te gustaría que incluyera una orientación para comenzar o hacer crecer tu negocio por internet?,Antes de comenzar: participación voluntaria,Consentimiento informado
,,,,,,,,,,,,
8/09/2026 11:59:54,Estoy comenzando y todavía no vendo,Manufactura o artesanía,Sitios donde varias personas venden sus productos,No sabía por dónde empezar,Tienda para cobrar y distribuidor,"Que sea económica, Que sea fácil de usar, Que permita recibir pagos, Que ayude a organizar los envíos, Que me permita aumentar las ventas con el tiempo, Que tenga ayuda o soporte, Que pueda adaptarse a mi negocio",Lo frágil,No sabía que podía pedir ese tipo de ayuda,Muy útil,Crear o mejorar mi tienda,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
8/09/2026 12:14:41,Estoy comenzando y todavía no vendo,"Alimentos, bebidas o productos de consumo",Todavía no vendo,Elegir dónde vender,,Que pueda adaptarse a mi negocio,Prueba ,"Sí, lo he pensado, pero todavía no",Extremadamente útil,Elegir dónde vender,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
8/09/2026 12:19:30,Ya vendo por internet y quiero crecer,Manufactura o artesanía,"Redes sociales (Instagram, Facebook o TikTok)",Conseguir clientes,,Que me permita aumentar las ventas con el tiempo,Los tiempos de empresa transportistas,"Sí, ya contraté ayuda",Muy útil,Dar a conocer mi negocio y conseguir clientes,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
8/09/2026 12:38:41,Estoy comenzando y todavía no vendo,Productos físicos,"Redes sociales (Instagram, Facebook o TikTok)",Elegir dónde vender,tener una web,"Que sea económica, Que permita recibir pagos, Que pueda adaptarse a mi negocio",costo de envío,"Sí, lo he pensado, pero todavía no",Muy útil,Elegir dónde vender,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
8/09/2026 12:41:03,Ya vendo por internet y quiero crecer,Productos físicos,Una tienda propia en internet,Elegir dónde vender,Dinero,"Que sea económica, Que sea fácil de usar, Que permita recibir pagos, Que ayude a organizar los envíos, Que me permita aumentar las ventas con el tiempo, Que tenga ayuda o soporte, Que pueda adaptarse a mi negocio",Que el cliente no pagué ,"Sí, lo he pensado, pero todavía no",Extremadamente útil,Cobrar a mis clientes,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
8/09/2026 13:14:58,"Ya vendo por internet, pero necesito ordenar o mejorar algunas cosas",Manufactura o artesanía,"Redes sociales (Instagram, Facebook o TikTok)",No sabía por dónde empezar,Para llegar más público ,Que sea fácil de usar,La publicidad ,"Sí, lo he pensado, pero todavía no",Muy útil,Crear o mejorar mi tienda,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
8/09/2026 13:42:54,Ya vendo por internet y quiero crecer,Servicios profesionales,"Redes sociales (Instagram, Facebook o TikTok)",Conseguir clientes,Hacer contenido creativo ,Que me permita aumentar las ventas con el tiempo,Organizar el proceso ,"Sí, ya contraté ayuda",Extremadamente útil,Dar a conocer mi negocio y conseguir clientes,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
8/09/2026 16:20:25,Estoy comenzando y todavía no vendo,Servicios profesionales,"Redes sociales (Instagram, Facebook o TikTok)",Conseguir clientes,Generar confianza en clientes  potenciales,Que me permita aumentar las ventas con el tiempo,"Que hayan errores en los envios, o que no llegue en la fecha indicada.","No, prefiero hacerlo por mi cuenta",Nada útil,Dar a conocer mi negocio y conseguir clientes,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
9/09/2026 7:11:34,Ya vendo por internet y quiero crecer,Productos físicos,Una tienda propia en internet,Preparar mi tienda o catálogo,más y mejores proveedores y menos competencia ,"Que sea económica, Que sea fácil de usar, Que permita recibir pagos, Que ayude a organizar los envíos, Que me permita aumentar las ventas con el tiempo, Que tenga ayuda o soporte, Que pueda adaptarse a mi negocio",ninguno muy significativo ,"Sí, ya contraté ayuda",Muy útil,Otro aspecto,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
9/09/2026 10:27:45,Estoy comenzando y todavía no vendo,Productos físicos,Una tienda propia en internet,Conseguir clientes,Dedicar mas tiempo al marketing,Que me permita aumentar las ventas con el tiempo,podria ser que la dirección compartida por el buyer sea incorrecta,"No, prefiero hacerlo por mi cuenta",Muy útil,Dar a conocer mi negocio y conseguir clientes,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
9/09/2026 13:08:02,Vendo principalmente en persona,"Alimentos, bebidas o productos de consumo","Redes sociales (Instagram, Facebook o TikTok)",Elegir dónde vender,Llegar a más clientes,Que sea fácil de usar,Las fechas de entrega,"Sí, lo he pensado, pero todavía no",Extremadamente útil,Crear o mejorar mi tienda,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
9/09/2026 14:24:46,Vendo principalmente en persona,Servicios profesionales,En persona o en una tienda física,No sabía por dónde empezar,Pienso que se necesita tener un objetivo/producto/servicio claro y un target muy bien definido.,"Que sea económica, Que sea fácil de usar, Que permita recibir pagos, Que ayude a organizar los envíos, Que me permita aumentar las ventas con el tiempo, Que tenga ayuda o soporte, Que pueda adaptarse a mi negocio","entrega fuera del plazo comprometido, no recepción del producto, robo del producto cuando se encuentre en transito ","Sí, lo he pensado, pero todavía no",Muy útil,Dar a conocer mi negocio y conseguir clientes,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
9/09/2026 14:42:19,Vendo principalmente en persona,Productos físicos,En persona o en una tienda física,No sabía por dónde empezar,Manejo RRSS ,"Que sea económica, Que sea fácil de usar, Que permita recibir pagos, Que me permita aumentar las ventas con el tiempo","Valor del despacho, pérdida de paquetes ","Sí, lo he pensado, pero todavía no",Extremadamente útil,Dar a conocer mi negocio y conseguir clientes,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
9/09/2026 15:46:31,Ya vendo por internet y quiero crecer,"Alimentos, bebidas o productos de consumo","Redes sociales (Instagram, Facebook o TikTok)",Conseguir clientes,Mayor visibilidad y creación de una página web que tenga lo necesario. ,"Que sea fácil de usar, Que me permita aumentar las ventas con el tiempo, Que pueda adaptarse a mi negocio","Al ser mis productos envasados en botellas de vidrio, yo misma hago el delivery por el miedo a que se rompan en el trayecto, lo cual es un gasto adicional. ",No sabía que podía pedir ese tipo de ayuda,Muy útil,Organizar los envíos,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
9/09/2026 16:04:34,Estoy comenzando y todavía no vendo,Aún no lo he definido,"Redes sociales (Instagram, Facebook o TikTok)",No sabía por dónde empezar,Un plan de negocio claro ,"Que sea fácil de usar, Que me permita aumentar las ventas con el tiempo, Que pueda adaptarse a mi negocio",La conexión con la transportadora,No sabía que podía pedir ese tipo de ayuda,Muy útil,Otro aspecto,"Sí, acepto participar voluntariamente en esta investigación y autorizo el uso académico de mis respuestas.",
